measureDevice,measurePt,yPos,yVelo,direction,yAccel,yJerk,index1_disp_peak,index2_disp_peak_moment,index3_disp_interval,index4_velo_peak,index5_velo_peak_moment,index6_velo_rising_time,index7_accel_peak,index8_accel_peak_moment,index9_accel_interval,useless
IDS,1,0,5000,1,1,40,-0.00912437704959264,NaN,2.49325510839388,5196.80054323295,0.44225,0.3291,0.793441345486763,4.9865,0.399580546905278,1
IDS,1,0,30000,1,1,40,-0.00842321825317072,10.3098333333334,0.943256271234283,23291.294610072,0.943199999999997,0.808999999999998,0.958791172607739,1.8865,0.943248343995344,2
IDS,1,-1500,5000,1,1,40,-0.0649990855799085,13.7441,2.49325422086731,5070.43735281103,0.442299999999999,0.329099999999997,0.793432908569789,4.98654999999999,0.368049321830898,3
IDS,1,-1500,30000,1,1,40,-0.065666894049779,10.3100333333333,0.943259246114259,23288.0754418408,0.943250000000003,0.808949999999996,0.95563646292473,1.88650000000001,0.887825374042082,4
IDS,1,-3000,5000,1,1,40,-0.145318311563339,13.7445333333333,2.49325294439153,5073.19100003326,0.442299999999999,0.329149999999999,0.7933581297772,4.98655,0.368166376727845,5
IDS,1,-3000,30000,1,1,40,-0.145542634229211,10.3094333333334,9.33460849668931,23293.9511870273,0.943249999999999,0.808999999999998,0.955577502051154,1.6018,0.936827525887415,6
IDS,1,0,5000,1,1,80,-0.00941956401287788,NaN,2.49291967163765,5192.72710181443,0.435450000000003,0.3171,0.803222357000395,4.98585,0.393927249097123,7
IDS,1,0,30000,1,1,80,-0.00851434387180916,10.3084333333333,0.942995289314476,23368.1111285873,0.943000000000001,0.810099999999999,0.959882503108691,1.886,0.942966869950912,8
IDS,1,-1500,5000,1,1,80,-0.0642183981848727,13.7369,2.49291441278253,5073.70603248539,0.435499999999998,0.317,0.80319787262292,4.9859,0.362648456235744,9
IDS,1,-1500,30000,1,1,80,-0.0665270063871049,10.3083666666667,0.942983112159685,23372.1046638198,0.94295,0.81005,0.95594591362141,1.88595,0.8868691738259,10
IDS,1,-3000,5000,1,1,80,-0.145111160399059,13.7378,2.49290556874415,5074.37741603065,0.435499999999998,0.317050000000002,0.803172819479297,4.98585,0.362707475555785,11
IDS,1,-3000,30000,1,1,80,-0.145749394151153,10.3076666666667,9.33163384894861,23366.8635219601,0.943000000000005,0.810100000000006,0.955840160363046,1.59615,0.935081905706255,12
IDS,1,0,5000,1,1,140,-0.00962600110486278,NaN,2.49287384889864,5191.79131073875,0.43435,0.316349999999999,0.804773565216676,4.98575,0.393012631926155,13
IDS,1,0,30000,1,1,140,-0.00875730722358981,10.3082666666666,0.942961676568994,23380.3579221037,0.942950000000003,0.810200000000002,0.960031474830898,1.88595,0.942934526598678,14
