2024-08-06 12:46:04.283235, �¿ͻ�������
2024-08-06 12:46:04.327566, acc:#0.00#-0.00#2.00



angle:#-0.02#-0.03#54.52


, 
acc:#0.00#-0.00#2.00, 
, 
, 
, 
angle:#-0.02#-0.03#54.52, 
2024-08-06 12:46:04.399409, acc:#0.00#-0.00#2.00
2024-08-06 12:46:04.451080, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:04.499914, acc:#0.00#-0.00#2.00
2024-08-06 12:46:04.544785, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:04.602823, acc:#0.00#-0.00#2.00
2024-08-06 12:46:04.653209, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:04.699487, acc:#0.00#-0.00#2.00
2024-08-06 12:46:04.745885, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:04.799750, acc:#0.00#-0.00#2.00
2024-08-06 12:46:04.855998, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:04.902531, acc:#0.00#-0.00#2.00
2024-08-06 12:46:04.947287, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:04.999006, acc:#0.00#-0.00#2.00
2024-08-06 12:46:05.054620, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:05.103451, acc:#0.00#-0.00#2.00
2024-08-06 12:46:05.151606, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:05.200697, acc:#0.00#-0.00#2.00
2024-08-06 12:46:05.262870, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:05.320374, acc:#0.00#-0.00#2.00
2024-08-06 12:46:05.366650, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:05.412303, acc:#0.00#-0.00#2.00
2024-08-06 12:46:05.458626, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:05.505843, acc:#0.00#-0.00#2.00
2024-08-06 12:46:05.554656, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:05.599002, acc:#0.00#-0.00#2.00
2024-08-06 12:46:05.646099, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:05.698309, acc:#0.00#-0.00#2.00
2024-08-06 12:46:05.755096, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:05.804181, acc:#0.00#-0.00#2.00
2024-08-06 12:46:05.848463, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:05.897789, acc:#0.00#-0.00#2.00
2024-08-06 12:46:05.954854, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:06.001156, acc:#0.00#-0.00#2.00
2024-08-06 12:46:06.047054, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:06.097820, acc:#0.00#-0.00#2.00
2024-08-06 12:46:06.142644, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:06.197494, acc:#0.00#-0.00#2.00
2024-08-06 12:46:06.251785, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:06.297844, acc:#0.00#-0.00#2.00
2024-08-06 12:46:06.344431, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:06.397667, acc:#0.00#-0.00#2.00
2024-08-06 12:46:06.453451, angle:#-0.02#-0.03#54.52
2024-08-06 12:46:06.499322, acc:#0.00#-0.00#2.00
2024-08-06 12:46:06.545950,  angle:#-0.02#-0.03#54.52
2024-08-06 12:46:06.597143,  acc:#0.00#-0.00#2.00
2024-08-06 12:46:06.642173,  angle:#-0.02#-0.03#54.52
2024-08-06 12:46:06.697074,  acc:#0.00#-0.00#2.00
2024-08-06 12:46:06.748624,  angle:#-0.02#-0.03#54.52
2024-08-06 12:46:06.799392,  acc:#0.00#-0.00#2.00
